unit,geo_time,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PPS_HAB,HU32,9700,10200,10000,10500,11300,11300,11500,12100,12800,12500,13200,14100
PPS_HAB,HU33,10500,11100,10500,11000,11600,12100,12700,13400,14500,14200,14700,16000
PPS_HAB,IE04,26000,23500,20800,22500,24400,24700,22100,23000,25700,23400,22200,22300 e
PPS_HAB,IE05,37200,33000,29900,31000,33300,34400,33300,34700,66500,60800,66100,69200 e
PPS_HAB,IE06,44100,40600,36900,38600,37800,39300,41500,45200,51600,55300,58200,64600 e
PPS_HAB,ITC1,30000,29600,26900,28000,28800,28200,28000,28000,29300,30200,31100,31900
PPS_HAB,ITC2,37200,37800,35200,36900,37800,38600,36400,36100,37100,37000,38300,39500
PPS_HAB,ITC3,30600,30900,28700,28600,29400,29400,28600,29200,30400,31300,31900,32600
PPS_HAB,ITC4,36200,36900,34200,35600,36400,36000,34900,35500,36900,38000,38700,39200
PPS_HAB,ITF1,23600,23700,22300,23000,24100,24400,23700,23700,24400,24600,25200,26200
PPS_HAB,ITF2,22500,21900,20900,21000,21200,20900,19200,19100,19900,20300,20700,21400
PPS_HAB,ITF3,18700,18600,17700,17500,17600,17800,17100,17200,18000,18400,18700,18800
PPS_HAB,ITF4,17900,17500,16600,17000,17400,17800,17100,17300,18000,18500,18700,19300
PPS_HAB,ITF5,20800,20700,19200,19100,19800,20100,20300,19700,21900,22000,22200,22600
PPS_HAB,ITF6,17100,17300,16500,16600,16800,16800,16200,16000,16600,16900,17200,17300
PPS_HAB,ITG1,18100,18100,17200,17300,17300,17500,17000,16600,17300,17500,17800,18100
PPS_HAB,ITG2,20100,20500,19500,19600,20000,20300,19500,19500,20700,20600,21000,21600
PPS_HAB,ITH1,39200,39600,38200,39400,40700,42800,42400,42700,44300,45100,46200,47700
PPS_HAB,ITH2,35900,35700,34000,34700,35600,35900,36100,36000,36600,37200,37700,38500
PPS_HAB,ITH3,31000,30500,28500,29100,30100,30000,29500,29900,31200,32300,33100,33800
PPS_HAB,ITH4,30100,29400,27100,28200,29000,28500,28300,28500,30000,30600,31200,31800
PPS_HAB,ITH5,33800,33500,30700,31300,32700,32500,32200,32700,34000,35100,35900,36800
PPS_HAB,ITI1,29400,29200,27700,28000,28800,29100,28400,28900,29800,30600,31100,32000
PPS_HAB,ITI2,26900,26700,24400,24700,25000,24700,23900,23400,24700,24900,25500,25900
PPS_HAB,ITI3,27200,26600,25100,25200,25700,25500,24800,25500,26200,26900,27400,28700
PPS_HAB,ITI4,35700,35000,33400,33500,34100,33200,31600,31400,32100,33500,33800,34100
PPS_HAB,LT01,24200,24400,20300,22400 b,24500,26700,28400,30200,31500,32000,33700,36000
PPS_HAB,LT02,12800,13600,11500,12800 b,14600,15700,16300,17200,17900,18200,19500,20300
PPS_HAB,LU00,69100,68400,62500,65500,69300,69200,70000,74400,78000,78800,78500,80900
PPS_HAB,LV00,14900,15400,12800,13400,14900,16100,16700,17600,18600,18800,19800,21300
PPS_HAB,ME00,10300,10900,9900,10400,10900,10500,10900,11300,12300,13000,13700,14800
PPS_HAB,MK00,7700,8300,8400,8700,8800,9000,9400,9900,10400 d,10800,10900,: 
PPS_HAB,MT00,20500,20700,19800,21200,21500,22200,22800,24600,27100,27800,29100,30200
PPS_HAB,NL11,40300,44100,38000,38900,40500,42800,44200,40900,39700,36100,36900 p,38000 p
PPS_HAB,NL12,25500,25900,23900,24300,25400,25700,25700,25900,26200,25600,26400 p,27200 p
PPS_HAB,NL13,26800,27600,24700,24700,25400,26000,26300,26100,26300,25500,26200 p,27300 p
PPS_HAB,NL21,29000,29800,28100,28200,29200,28900,29300,29700,30800,31000,32000 p,33300 p
